"DATETIME","COUNT","DOW","HOUR","DAY"
2013-01-14 11:00:00,8,"Monday",11,14
2013-01-14 12:00:00,4,"Monday",12,14
2013-01-14 13:00:00,3,"Monday",13,14
2013-01-14 14:00:00,7,"Monday",14,14
2013-01-14 15:00:00,9,"Monday",15,14
2013-01-14 16:00:00,9,"Monday",16,14
2013-01-14 17:00:00,9,"Monday",17,14
2013-01-14 18:00:00,9,"Monday",18,14
2013-01-14 19:00:00,9,"Monday",19,14
2013-01-14 20:00:00,8,"Monday",20,14
2013-01-14 21:00:00,4,"Monday",21,14
2013-01-14 22:00:00,4,"Monday",22,14
2013-01-14 23:00:00,5,"Monday",23,14
2013-01-15 00:00:00,3,"Tuesday",0,15
2013-01-15 01:00:00,1,"Tuesday",1,15
2013-01-15 02:00:00,2,"Tuesday",2,15
2013-01-15 03:00:00,0,"Tuesday",3,15
2013-01-15 04:00:00,1,"Tuesday",4,15
2013-01-15 05:00:00,1,"Tuesday",5,15
2013-01-15 06:00:00,1,"Tuesday",6,15
2013-01-15 07:00:00,3,"Tuesday",7,15
2013-01-15 08:00:00,5,"Tuesday",8,15
2013-01-15 09:00:00,8,"Tuesday",9,15
2013-01-15 10:00:00,13,"Tuesday",10,15
2013-01-15 11:00:00,12,"Tuesday",11,15
2013-01-15 12:00:00,13,"Tuesday",12,15
2013-01-15 13:00:00,13,"Tuesday",13,15
2013-01-15 14:00:00,11,"Tuesday",14,15
2013-01-15 15:00:00,11,"Tuesday",15,15
2013-01-15 16:00:00,10,"Tuesday",16,15
2013-01-15 17:00:00,9,"Tuesday",17,15
2013-01-15 18:00:00,5,"Tuesday",18,15
2013-01-15 19:00:00,8,"Tuesday",19,15
2013-01-15 20:00:00,8,"Tuesday",20,15
2013-01-15 21:00:00,6,"Tuesday",21,15
2013-01-15 22:00:00,6,"Tuesday",22,15
2013-01-15 23:00:00,4,"Tuesday",23,15
2013-01-16 00:00:00,4,"Wednesday",0,16
2013-01-16 01:00:00,3,"Wednesday",1,16
2013-01-16 02:00:00,3,"Wednesday",2,16
2013-01-16 03:00:00,2,"Wednesday",3,16
2013-01-16 04:00:00,3,"Wednesday",4,16
2013-01-16 05:00:00,4,"Wednesday",5,16
2013-01-16 06:00:00,1,"Wednesday",6,16
2013-01-16 07:00:00,2,"Wednesday",7,16
2013-01-16 08:00:00,2,"Wednesday",8,16
2013-01-16 09:00:00,1,"Wednesday",9,16
2013-01-16 10:00:00,1,"Wednesday",10,16
2013-01-16 11:00:00,2,"Wednesday",11,16
2013-01-16 12:00:00,4,"Wednesday",12,16
2013-01-16 13:00:00,6,"Wednesday",13,16
2013-01-16 14:00:00,7,"Wednesday",14,16
2013-01-16 15:00:00,11,"Wednesday",15,16
2013-01-16 16:00:00,14,"Wednesday",16,16
2013-01-16 17:00:00,19,"Wednesday",17,16
2013-01-16 18:00:00,16,"Wednesday",18,16
2013-01-16 19:00:00,14,"Wednesday",19,16
2013-01-16 20:00:00,17,"Wednesday",20,16
2013-01-16 21:00:00,21,"Wednesday",21,16
2013-01-16 22:00:00,14,"Wednesday",22,16
2013-01-16 23:00:00,7,"Wednesday",23,16
2013-01-17 00:00:00,5,"Thursday",0,17
2013-01-17 01:00:00,4,"Thursday",1,17
2013-01-17 02:00:00,5,"Thursday",2,17
2013-01-17 03:00:00,4,"Thursday",3,17
2013-01-17 04:00:00,3,"Thursday",4,17
2013-01-17 05:00:00,5,"Thursday",5,17
2013-01-17 06:00:00,5,"Thursday",6,17
2013-01-17 07:00:00,5,"Thursday",7,17
2013-01-17 08:00:00,7,"Thursday",8,17
2013-01-17 09:00:00,9,"Thursday",9,17
2013-01-17 10:00:00,10,"Thursday",10,17
2013-01-17 11:00:00,9,"Thursday",11,17
2013-01-17 12:00:00,12,"Thursday",12,17
2013-01-17 13:00:00,14,"Thursday",13,17
2013-01-17 14:00:00,6,"Thursday",14,17
2013-01-17 15:00:00,9,"Thursday",15,17
2013-01-17 16:00:00,10,"Thursday",16,17
2013-01-17 17:00:00,10,"Thursday",17,17
2013-01-17 18:00:00,7,"Thursday",18,17
2013-01-17 19:00:00,6,"Thursday",19,17
2013-01-17 20:00:00,8,"Thursday",20,17
2013-01-17 21:00:00,8,"Thursday",21,17
2013-01-17 22:00:00,11,"Thursday",22,17
2013-01-17 23:00:00,13,"Thursday",23,17
2013-01-18 00:00:00,10,"Friday",0,18
2013-01-18 01:00:00,5,"Friday",1,18
2013-01-18 02:00:00,6,"Friday",2,18
2013-01-18 03:00:00,5,"Friday",3,18
2013-01-18 04:00:00,3,"Friday",4,18
2013-01-18 05:00:00,5,"Friday",5,18
2013-01-18 06:00:00,2,"Friday",6,18
2013-01-18 07:00:00,6,"Friday",7,18
2013-01-18 08:00:00,7,"Friday",8,18
2013-01-18 09:00:00,11,"Friday",9,18
2013-01-18 10:00:00,17,"Friday",10,18
2013-01-18 11:00:00,16,"Friday",11,18
2013-01-18 12:00:00,18,"Friday",12,18
2013-01-18 13:00:00,9,"Friday",13,18
2013-01-18 14:00:00,7,"Friday",14,18
2013-01-18 15:00:00,8,"Friday",15,18
2013-01-18 16:00:00,14,"Friday",16,18
2013-01-18 17:00:00,14,"Friday",17,18
2013-01-18 18:00:00,17,"Friday",18,18
2013-01-18 19:00:00,20,"Friday",19,18
2013-01-18 20:00:00,15,"Friday",20,18
2013-01-18 21:00:00,13,"Friday",21,18
2013-01-18 22:00:00,11,"Friday",22,18
2013-01-18 23:00:00,10,"Friday",23,18
2013-01-19 00:00:00,9,"Saturday",0,19
2013-01-19 01:00:00,5,"Saturday",1,19
2013-01-19 02:00:00,7,"Saturday",2,19
2013-01-19 03:00:00,6,"Saturday",3,19
2013-01-19 04:00:00,2,"Saturday",4,19
2013-01-19 05:00:00,1,"Saturday",5,19
2013-01-19 06:00:00,2,"Saturday",6,19
2013-01-19 07:00:00,4,"Saturday",7,19
2013-01-19 08:00:00,5,"Saturday",8,19
2013-01-19 09:00:00,2,"Saturday",9,19
2013-01-19 10:00:00,8,"Saturday",10,19
2013-01-19 11:00:00,9,"Saturday",11,19
2013-01-19 12:00:00,7,"Saturday",12,19
2013-01-19 13:00:00,10,"Saturday",13,19
2013-01-19 14:00:00,10,"Saturday",14,19
2013-01-19 15:00:00,11,"Saturday",15,19
2013-01-19 16:00:00,10,"Saturday",16,19
2013-01-19 17:00:00,10,"Saturday",17,19
2013-01-19 18:00:00,7,"Saturday",18,19
2013-01-19 19:00:00,5,"Saturday",19,19
2013-01-19 20:00:00,10,"Saturday",20,19
2013-01-19 21:00:00,8,"Saturday",21,19
2013-01-19 22:00:00,10,"Saturday",22,19
2013-01-19 23:00:00,4,"Saturday",23,19
2013-01-20 00:00:00,2,"Sunday",0,20
2013-01-20 01:00:00,1,"Sunday",1,20
2013-01-20 02:00:00,1,"Sunday",2,20
2013-01-20 03:00:00,2,"Sunday",3,20
2013-01-20 04:00:00,2,"Sunday",4,20
2013-01-20 05:00:00,2,"Sunday",5,20
2013-01-20 06:00:00,2,"Sunday",6,20
